time,slot0,slot1,slot2,slot3,slot4,slot5,slot6,slot7
1786335903889,provisioning,provisioning,provisioning,provisioning,provisioning,provisioning,provisioning,provisioning
1786336060508,leader,training,training,training,training,training,training,training
1786337990559,leader,training,training,provisioning,training,training,training,training
1786338146325,leader,training,training,training,training,training,training,training
1786341589649,provisioning,leader,training,training,training,training,training,training
1786341749295,training,leader,training,training,training,training,training,training
1786343480517,provisioning,provisioning,provisioning,provisioning,provisioning,provisioning,leader,training
1786343547840,training,provisioning,provisioning,provisioning,provisioning,provisioning,leader,training
1786343561162,training,training,provisioning,provisioning,provisioning,provisioning,leader,training
1786343587154,training,training,training,provisioning,provisioning,provisioning,leader,training
1786343600200,training,training,training,training,provisioning,provisioning,leader,training
1786343617226,training,training,training,training,training,provisioning,leader,training
1786343638005,training,training,training,training,training,training,leader,training
1786346991612,leader,training,training,training,training,training,provisioning,training
1786347149432,leader,training,training,training,training,training,training,training
1786350591960,provisioning,leader,training,training,training,training,training,training
1786350751925,training,leader,training,training,training,training,training,training
1786354209906,training,leader,provisioning,training,training,training,training,provisioning
1786354346400,training,leader,training,training,training,training,training,provisioning
1786354363835,training,leader,training,training,training,training,training,training
1786357791479,leader,provisioning,training,training,training,training,training,training
1786358090807,leader,training,training,training,training,training,training,training
1786361391647,leader,training,training,training,provisioning,training,training,training
1786361556725,leader,training,training,training,training,training,training,training
1786364993828,provisioning,leader,training,training,training,training,training,training
1786365142095,training,leader,training,training,training,training,training,training
1786368607488,provisioning,leader,training,provisioning,training,training,training,training
1786368825783,training,leader,training,training,training,training,training,training
1786372192850,training,leader,training,training,training,provisioning,training,training
1786372409998,training,leader,training,training,training,training,training,training
1786375790929,training,leader,training,training,training,training,provisioning,training
1786376003058,training,leader,training,training,training,training,training,training
1786379391046,leader,provisioning,training,training,training,training,training,training
1786379639398,leader,training,training,training,training,training,training,training
1786383009114,leader,provisioning,provisioning,training,training,training,training,training
1786383138332,leader,training,provisioning,training,training,training,training,training
1786383163841,leader,training,training,training,training,training,training,training
1786386592348,leader,training,training,training,training,training,training,provisioning
1786386783794,leader,training,training,training,training,training,training,training
1786390192196,leader,training,training,training,provisioning,training,training,training
1786390397532,leader,training,training,training,training,training,training,training
1786393880865,provisioning,provisioning,provisioning,provisioning,provisioning,provisioning,leader,training
1786394016983,training,provisioning,training,training,provisioning,provisioning,leader,training
1786394038776,training,provisioning,training,training,provisioning,training,leader,training
1786394074186,training,provisioning,training,training,training,training,leader,training
1786394087696,training,training,training,training,training,training,leader,training
1786397390785,leader,training,training,training,training,training,provisioning,training
1786397560422,leader,training,training,training,training,training,training,training
