time,durable_step,current_step,furthest_step,steps_at_risk,train_loss,tokens_b,nodes_training,nodes_lost,replacements,below_full_world,degraded_band,goodput,ms_per_step,ms_per_step_typical,whole_group_restarts,usd,usd_per_1k,supervisor_up
1786335903889,0,,0,0,,0.0,0,0,0,1,,,,,0,0,,1
1786335908667,0,,0,0,,0.0,0,0,0,1,,,,,0,0.0107,,1
1786335913167,0,,0,0,,0.0,0,0,0,1,,,,,0,0.0207,,1
1786335917815,0,,0,0,,0.0,0,0,0,1,,,,,0,0.0311,,1
1786335922298,0,,0,0,,0.0,0,0,0,1,,,,,0,0.0412,,1
1786335926783,0,,0,0,,0.0,0,0,0,1,,,,,0,0.0512,,1
1786335931431,0,,0,0,,0.0,0,0,0,1,,,,,0,0.0616,,1
1786335935873,0,,0,0,,0.0,0,0,0,1,,,,,0,0.0715,,1
1786335940323,0,,0,0,,0.0,0,0,0,1,,,,,0,0.0815,,1
1786335944839,0,,0,0,,0.0,0,0,0,1,,,,,0,0.0915,,1
1786335949257,0,,0,0,,0.0,0,0,0,1,,,,,0,0.1014,,1
1786335953709,0,,0,0,,0.0,0,0,0,1,,,,,0,0.1114,,1
1786335958140,0,,0,0,,0.0,0,0,0,1,,,,,0,0.1213,,1
1786335962523,0,,0,0,,0.0,0,0,0,1,,,,,0,0.1311,,1
1786335966905,0,,0,0,,0.0,0,0,0,1,,,,,0,0.1409,,1
1786335971301,0,,0,0,,0.0,0,0,0,1,,,,,0,0.1507,,1
1786335975775,0,,0,0,,0.0,0,0,0,1,,,,,0,0.1607,,1
1786335980177,0,,0,0,,0.0,0,0,0,1,,,,,0,0.1705,,1
1786335984453,0,,0,0,,0.0,0,0,0,1,,,,,0,0.1801,,1
1786335988835,0,,0,0,,0.0,0,0,0,1,,,,,0,0.1899,,1
1786335993095,0,,0,0,,0.0,0,0,0,1,,,,,0,0.1994,,1
1786335997329,0,,0,0,,0.0,0,0,0,1,,,,,0,0.2089,,1
1786336001561,0,,0,0,,0.0,0,0,0,1,,,,,0,0.2184,,1
1786336005850,0,,0,0,,0.0,0,0,0,1,,,,,0,0.2279,,1
1786336010137,0,,0,0,,0.0,0,0,0,1,,,,,0,0.2375,,1
1786336014379,0,,0,0,,0.0,0,0,0,1,,,,,0,0.247,,1
1786336018564,0,,0,0,,0.0,0,0,0,1,,,,,0,0.2564,,1
1786336022875,0,,0,0,,0.0,0,0,0,1,,,,,0,0.266,,1
1786336027042,0,,0,0,,0.0,0,0,0,1,,,,,0,0.2753,,1
1786336031263,0,,0,0,,0.0,0,0,0,1,,,,,0,0.2848,,1
1786336035560,0,,0,0,,0.0,0,0,0,1,,,,,0,0.2944,,1
