time,nodes_training,below_full_world
1786335767000,0,1
1786336060508,8,0
1786337990559,7,1
1786338146325,8,0
1786341589649,7,1
1786341749295,8,0
1786343480517,2,1
1786343547840,3,1
1786343561162,4,1
1786343587154,5,1
1786343600200,6,1
1786343617226,7,1
1786343638005,8,0
1786346991612,7,1
1786347149432,8,0
1786350591960,7,1
1786350751925,8,0
1786354209906,6,1
1786354346400,7,1
1786354363835,8,0
1786357791479,7,1
1786358090807,8,0
1786361391647,7,1
1786361556725,8,0
1786364993828,7,1
1786365142095,8,0
1786368607488,6,1
1786368825783,8,0
1786372192850,7,1
1786372409998,8,0
1786375790929,7,1
1786376003058,8,0
1786379391046,7,1
1786379639398,8,0
1786383009114,6,1
1786383138332,7,1
1786383163841,8,0
1786386592348,7,1
1786386783794,8,0
1786390192196,7,1
1786390397532,8,0
1786393880865,2,1
1786394016983,5,1
1786394038776,6,1
1786394074186,7,1
1786394087696,8,0
1786397390785,7,1
1786397560422,8,0
1786398453493,8,0
