router,offered_rps,achieved_rps,p50_ms,p99_ms,errors,dropped
python,100,100,2.38,4.23,0,0
python,250,250,1.60,6.32,0,0
python,500,500,1.15,4.26,0,0
python,750,750,0.89,50.37,0,0
python,1000,766,0.78,22.34,1511,230
python,2000,78,2069.33,4082.24,6043,13120
go,100,100,0.87,1.69,0,0
go,250,250,0.67,1.87,0,0
go,500,500,0.45,3.62,0,0
go,1000,1000,0.34,1.22,0,0
go,2000,2000,0.26,2.11,0,0
go,4000,3999,0.14,11.83,0,0
go,6000,5999,0.12,7.61,0,0
go,7000,6999,0.12,8.82,0,0
go,8000,5506,0.13,22.41,1175,19577
go,12000,1027,0.67,3642.58,4643,104577
